uid,org,work_location,certification,issue_date,type
105912781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-11-18,badge
105912781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - IBM i Application Programmer - Db2 for IBM i V7.4 - Experienced,2021-11-15,badge
105912781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-11-24,badge
105912781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevSecOps Essentials,2022-03-08,badge
105912781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - IBM i Application Programmer - IBM Query for i V7.4 - Experienced,2021-12-14,badge
105912781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - IBM i Application Programmer - CL Programming V7.4 -Experienced,2021-11-15,badge
105912781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - IBM i V7.4 Operator - Experienced,2021-11-02,badge
072712781IBM,Finance and Operations,"Mexico City, DIF, Mexico",IBM Cloud Essentials,2020-12-18,badge
072712781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Cloud Core,2020-12-14,badge
072712781IBM,Finance and Operations,"Mexico City, DIF, Mexico",IBM Agile Explorer,2019-08-28,badge
072712781IBM,Finance and Operations,"Mexico City, DIF, Mexico",IBM Recognized Teacher/ Educator,2017-05-09,badge
072712781IBM,Finance and Operations,"Mexico City, DIF, Mexico",IBM Advisory Project Manager,2017-01-20,badge
072712781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Enterprise Design Thinking Practitioner,2016-09-25,badge
072712781IBM,Finance and Operations,"Mexico City, DIF, Mexico",2021-09-21 Professional Scrum Master I (04 Apr 2020),,external certification
072712781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Project Manager Professional (PMP) (22 Sep 2005),,external certification
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Metrics in Practice,2020-09-09,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - IBM i System Administrator - LPAR and Virtualization Management - Experienced,2020-08-13,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - IBM i System Administrator - Storage Management - Experienced,2020-08-12,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-07-25,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - IBM i System Administrator - Security - Experienced,2019-08-03,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - IBM i System Administrator - Journal Management - Experienced,2019-08-03,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - IBM i Operator - Experienced,2019-08-01,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - IBM i Application Programmer - IBM Query for i - Experienced,2019-07-31,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - IBM i Application Programmer - Db2 for IBM i,2019-07-30,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - IBM i Application Programmer - CL Programming - Experienced,2019-07-28,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Quality in Practice Badge,2019-07-17,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - IBM i Application Programmer - RPG/400 Programming - Experienced,2019-07-03,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2019-03-28,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2018-08-24,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation Practitioner,2018-07-19,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Foundation Developer,2018-03-23,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-03-20,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Retail Industry Jumpstart,2018-03-03,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2018-01-30,badge
04972C781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-11-27,badge
107782781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Cloud Foundations,2023-01-20,badge
107782781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Advocate Essentials,2022-12-01,badge
107782781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - IBM Mainframe Environment - Fundamentals 2.4,2022-05-06,badge
107782781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Operator - TSO/ISPF Foundations 2.4,2022-05-04,badge
107782781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Operator - JCL Foundations 2.4,2022-05-04,badge
107782781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Systems Programmer - JCL Foundations 2.4,2022-04-27,badge
107782781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2022-04-20,badge
107782781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-04-20,badge
107782781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2022-03-17,badge
063926781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2022-07-11,badge
063926781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-07-01,badge
063926781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM MQ Developer Essentials,2019-01-31,badge
063926781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2019-01-22,badge
063926781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Consulting,2018-07-30,badge
063926781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-07-29,badge
106726781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-01-21,badge
103799781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Db2 for LUW V11.x Foundations,2022-05-13,badge
103799781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-10-01,badge
109238781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Security Essentials for Architects,2022-12-29,badge
109238781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM DevSecOps Explorer - Security & Automation for DevOps,2022-10-28,badge
109238781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2022-09-27,badge
109238781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2022-09-24,badge
002382781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2022-09-06,badge
002382781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2022-08-18,badge
002382781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-06-16,badge
110387781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Build Smart on Kubernetes,2022-12-02,badge
110387781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2022-10-14,badge
110387781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-08-20,badge
069200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-04-28,badge
069200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2020-12-16,badge
069200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevSecOps Essentials,2020-12-12,badge
069200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-09-01,badge
069200781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified DBA - DB2 10.1 for LUW (07 Aug 2013),,external certification
070731781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Business Analytics for IBM Systems,2021-11-29,badge
070731781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2020-11-10,badge
070731781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-07-02,badge
070731781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-09-21,badge
070731781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-08-28,badge
110388781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2022-10-03,badge
110388781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-09-09,badge
110388781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2022-05-31,badge
110388781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM DevSecOps Explorer - Security & Automation for DevOps,2022-05-09,badge
101363781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2022-09-28,badge
101363781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2022-05-09,badge
101363781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2021-12-26,badge
101363781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Containers & Kubernetes Essentials,2021-12-18,badge
101363781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-03-26,badge
101363781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-03-25,badge
076295781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Mental Health Ally,2022-06-13,badge
076295781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",TLE Challenge Completion - 2018,2018-04-06,badge
076295781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Mentor,2018-03-29,badge
070912781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-03-03,badge
070912781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2020-12-12,badge
070912781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-06-25,badge
070912781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Media & Entertainment Industry Jumpstart,2019-01-29,badge
070912781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-07-20,badge
105372781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Growth Behaviors,2022-04-19,badge
105372781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-04-16,badge
105372781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2021-12-30,badge
105372781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-07-06,badge
105372781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-06-24,badge
109326781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2022-10-18,badge
109326781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Containers & Kubernetes Essentials,2022-09-02,badge
109326781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-08-25,badge
109326781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM DevSecOps Explorer - Security & Automation for DevOps,2022-08-04,badge
077346781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2020-01-23,badge
077346781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Becoming User Centric,2020-04-23,badge
077346781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2019-09-04,badge
077346781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-08-26,badge
077346781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2021-12-04,badge
077346781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Calculate Sales Results and Understand CMDW,2021-05-17,badge
077346781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-11-18,badge
077346781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-10-10,badge
077346781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2020-10-01,badge
077346781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Professional Scrum Master I (PSM I),2020-07-12,badge
077346781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Accessibility Advocate,2018-09-21,badge
077346781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2017-09-13,badge
077346781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Project Management Professional (PMP)®,2013-09-27,badge
105154781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Foundations - Level 1,2022-11-08,badge
105154781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-10-05,badge
070098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-03-16,badge
070098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2020-07-16,badge
070098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-06-25,badge
070098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2019-06-15,badge
070098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-08-30,badge
104455781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2021-12-31,badge
079918781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2021-09-22,badge
079918781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-03-25,badge
079918781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-06-25,badge
079918781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-08-24,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers - Bronze,2020-11-01,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Becoming User Centric,2020-04-08,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2022-01-27,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2020-01-28,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-06-30,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Accessibility Advocate,2020-12-09,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-09-28,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2020-09-09,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Method for Cloud Advocate,2018-05-14,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers - Bronze,2020-11-01,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-09-21,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2021-10-20,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 2,2022-01-16,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Foundations - Level 1,2020-03-20,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Kubernetes Service,2019-06-19,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2021-12-09,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2019-05-24,badge
070615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Build Chatbots with Watson Conversation,2018-01-24,badge
